"id","code","name","note","user_type_id:id","reconcile","chart_template_id:id"
"account_template_poppi_121_01_01","121.01.01","COMPULSORIO - ELETROBRAS","","account.data_account_type_non_current_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_121_02_01","121.02.01","OUTROS CREDITOS","","account.data_account_type_non_current_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_121_03_01","121.03.01","ANTECIPACAO P/DISTRIB. DE LUCROS","","account.data_account_type_non_current_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_121_04_01","121.04.01","OPERACOES A PRAZO FIXO","","account.data_account_type_non_current_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_121_05_01","121.05.01","DEPOSITO JUDICIAL","","account.data_account_type_non_current_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_121_05_02","121.05.02","DEPOSITO JUDICIAL (DELMO POPPI)","","account.data_account_type_non_current_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_121_05_03","121.05.03","BCO BRASIL - BLOQUEIO JUDICIAL","","account.data_account_type_non_current_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_121_05_04","121.05.04","BCO BRADESCO - BLOQUEIO JUDICIAL","","account.data_account_type_non_current_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_121_05_05","121.05.05","BCO ITAU - BLOQUEIO JUDICIAL","","account.data_account_type_non_current_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_121_05_06","121.05.06","BCO SANTANDER - BLOQUEIO JUDICIAL","","account.data_account_type_non_current_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_131_01_01","131.01.01","INVESTIMENTOS INCENTIVADOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_131_02_01","131.02.01","INVESTIMENTOS INCENT. - IPC-90","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_131_03_01","131.03.01","PARTICIPACOES OUTRAS EMPRESAS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_131_04_01","131.04.01","PARTICIP OUTRAS EMPRESAS IPC90","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_01_01","132.01.01","BIBLIOTECA","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_01_02","132.01.02","CONSTRUCAO ANDAMENTO","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_01_03","132.01.03","CONSTRUCAO ANDAMENTO BARRACAO","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_01_04","132.01.04","MATERIAIS P/SEGURANCA","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_01_05","132.01.05","CONSTRUCAO ANDAMENTO VESTIARIO","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_132_01_06","132.01.06","MOVEIS E UTENSILIOS","","account.data_account_type_fixed_assets","","l10n_br_coa_poppi_chart_template"
